Invoice No,Product Name,Qty,Amount,Date
GT/86,114MM GOLDEN YELLOW ROPE,2,6420.6,23-07-2024
GT/86,116MM GOLDEN YELLOW ROPE,2,11039.25,23-07-2024
GT/116,116MM GOLDEN YELLOW ROPE,2,3276.0,13-10-2024
GT/116,18MM GOLDEN YELLOW ROPE,84,10164.0,13-10-2024
GT/116,22MM GOLDEN YELLOW ROPE,128,15408.0,13-10-2024
GT/116,32MM GOLDEN YELLOW ROPE,400,48000.0,13-10-2024
GT/116,32MM WHITE ROPE,49,6169.0,13-10-2024
GT/116,116MM GOLDEN YELLOW ROPE,2,3276.0,13-10-2024
GT/116,18MM GOLDEN YELLOW ROPE,84,10164.0,13-10-2024
GT/116,22MM GOLDEN YELLOW ROPE,128,15408.0,13-10-2024
GT/116,32MM GOLDEN YELLOW ROPE,400,48000.0,13-10-2024
GT/116,32MM WHITE ROPE,49,6169.0,13-10-2024
